,Voted,myv_van_id
144,1,3337529
145,1,3337776
146,1,3337970
147,1,3338926
148,1,3339167
149,1,3339708
150,1,3341184
151,0,3342383
152,1,3343228
153,1,3344496
154,1,3344763
155,0,3346524
156,1,3346578
157,0,3351129
158,1,3351398
159,1,3351621
160,1,3352137
161,1,3352792
162,1,3355565
163,1,3355708
164,1,3356163
165,0,3356431
166,1,3358765
167,1,3359869
168,1,3359963
169,1,3361856
170,1,3362911
171,0,3363040
172,1,3363305
173,1,3364733
174,1,3364807
175,1,3366288
176,1,3371990
177,1,3372205
178,1,3373007
179,1,3374706
180,1,3377535
181,1,3378448
182,1,3379335
183,1,3381450
184,0,3382204
185,1,3382608
186,1,3383245
187,1,3383514
188,1,3383757
189,1,3383811
190,1,3388468
191,0,3389603
192,1,3389685
193,1,3392227
194,1,3393683
195,1,3395501
196,1,3398339
197,1,3398867
198,1,3400296
199,1,3400543
200,1,3402113
201,0,3402261
202,1,3402748
203,1,3403326
204,1,3403602
205,1,3408366
206,1,3409262
207,1,3410841
208,1,3411070
209,1,3412520
210,1,3414676
211,1,3416202
212,1,3416431
213,1,3418159
214,1,3418370
215,1,3419354
216,1,3419371
217,1,3420416
218,1,3420513
219,1,3422412
220,1,3427240
221,1,3428400
222,1,3428707
223,1,3428943
224,1,3429675
225,1,3431166
226,1,3436065
227,1,3437774
228,1,3439981
229,1,3441168
230,1,3441614
231,1,3443860
232,1,3444780
233,1,3446007
234,1,3448084
235,1,3450449
236,1,3450634
237,1,3450861
238,0,3451396
239,1,3451526
240,1,3451545
241,1,3454013
242,1,3454654
243,0,3455271
244,1,3455518
245,1,3458051
246,0,3459033
247,1,3460529
248,1,3461194
249,1,3476843
250,1,3478811
251,0,3478823
252,0,3478894
253,1,3479746
254,1,3480267
255,1,3482390
256,1,3482891
257,0,3483444
258,1,3483474
259,1,3486616
260,1,3486972
261,1,3489228
262,1,3492482
263,1,3492524
264,1,3492743
265,1,3494106
266,1,3495060
267,1,3498351
268,0,3500322
269,1,3502593
270,1,3502617
271,1,3502868
272,1,3504582
273,1,3504888
274,1,3505991
275,1,3506580
276,1,3509677
277,1,3511558
278,1,3512101
279,1,3512704
280,1,3513648
281,0,3514351
282,1,3516783
283,1,3519472
284,1,3521976
285,0,3523987
286,1,3534042
287,1,3534240
288,1,3534303
289,1,3535498
290,1,3535516
291,1,3537973
292,1,3538123
293,1,3539287
294,1,3541199
295,1,3541887
296,1,3542258
297,1,3542437
298,1,3544191
299,1,3545097
300,1,3545866
301,1,3546807
302,1,3548621
303,0,3550588
304,1,3550611
305,1,3550765
306,1,3551362
307,1,3551588
308,0,3551971
309,1,3553393
310,1,3553769
311,1,3556874
312,0,3557093
313,1,3557768
314,1,3558559
315,1,3558877
316,1,3561480
317,1,3563502
318,1,3564132
319,1,3564719
320,1,3565820
321,1,3566503
322,1,3567090
323,1,3568062
324,1,3569066
325,0,3569783
326,1,3570527
327,0,3572583
328,1,3575018
329,1,3576325
330,1,3576398
331,1,3577170
